fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.68244,0.00852,0.0118,0.83117,0.00029,3.59214,0.44697,6.66658,0.39538,2.0338,0.02095,0.9,0.20437,0.0,0.09972,0.55223,0.0,0.0,0.0,0.2831,0.0,1.0,0.0,0.0
0.68265,0.00734,0.01304,0.91422,0.00039,3.09963,0.652,6.93635,0.57149,1.84188,0.01525,0.82202,0.1969,0.0,0.12332,0.47389,0.0,0.0,0.0,0.28234,0.0,0.99311,0.0,0.0
0.68314,0.00763,0.01287,0.91382,0.00039,3.09678,0.66088,7.46594,0.57149,1.79548,0.01525,0.82045,0.20205,0.0,0.11664,0.46766,0.0,0.0,0.0,0.27477,0.0,1.0,0.0,0.0
0.67667,0.00728,0.01298,0.95869,0.00041,3.79462,0.63371,6.35919,0.61545,1.77769,0.01934,0.9,0.21269,0.0,0.11977,0.50488,0.0,0.0,0.0,0.20641,0.0,1.0,0.0,0.0
0.68067,0.00699,0.01271,0.91422,0.0004,3.11669,0.64855,6.90191,0.57297,1.82728,0.01495,0.82202,0.19255,0.0,0.11789,0.4699,0.0,0.0,0.0,0.28122,0.0,1.0,0.0,0.0
0.67842,0.0079,0.01537,0.90283,0.00045,3.73081,0.68334,7.78524,0.601,1.79548,0.01847,0.81128,0.16796,0.0,0.12883,0.46766,0.0,0.0,0.0,0.24513,0.0,1.0,0.0,0.0
0.68157,0.0077,0.01291,0.90918,0.00039,3.0592,0.66088,7.40476,0.5598,1.79548,0.01506,0.81798,0.19764,0.0,0.11775,0.45713,0.0,0.0,0.0,0.27462,0.0,1.0,0.0,0.0
0.67651,0.00617,0.00833,0.93325,0.00049,3.30382,0.67734,7.44905,0.65431,1.83397,0.02042,0.84536,0.20485,0.0,0.13552,0.56467,0.0,0.0,0.0,0.26153,0.0,1.0,0.0,0.0
0.6724,0.0075,0.01298,0.93454,0.00029,3.12792,0.77818,6.93635,0.42099,2.38326,0.01113,0.81619,0.19626,0.0,0.13405,0.47571,0.0,0.0,0.0,0.24911,0.0,1.0,0.0,0.0
0.67639,0.00676,0.01287,0.89562,0.00039,3.09495,0.5912,7.46594,0.68719,2.01485,0.01635,0.82045,0.18317,0.0,0.13313,0.54716,0.0,0.0,0.0,0.27541,0.0,1.0,0.0,0.0
0.68085,0.00524,0.01006,0.91382,0.0006,2.93864,0.6446,8.07022,0.54173,1.87935,0.01511,0.9,0.16854,0.0,0.11357,0.53763,0.0,0.0,0.0,0.25503,0.0,1.0,0.0,0.0
0.67592,0.00901,0.01298,0.89347,0.00036,4.38656,0.71576,5.68974,0.54778,1.83397,0.01436,0.82202,0.19013,0.0,0.12059,0.5722,0.0,0.0,0.0,0.24931,0.0,0.98089,0.0,0.0
0.67963,0.00718,0.01288,0.91422,0.0005,3.52172,0.60701,6.39341,0.60499,1.36649,0.01525,0.82944,0.23455,0.0,0.12406,0.45808,0.0,0.0,0.0,0.29733,0.0,1.0,0.0,0.0
0.68335,0.00946,0.01231,0.83117,0.00029,3.1973,0.37403,8.64645,0.31152,2.07618,0.02095,0.61759,0.17807,0.0,0.06087,0.55223,0.0,0.0,0.0,0.27526,0.0,0.7287,0.0,0.0
0.68349,0.00728,0.01054,0.91206,0.00041,3.60892,0.65488,6.1939,0.78475,2.04534,0.01644,0.9,0.19057,0.0,0.12406,0.3903,0.0,0.0,0.0,0.30479,0.0,1.0,0.0,0.0
0.67165,0.00819,0.01298,0.87901,0.00038,3.10762,0.70436,8.77815,0.64282,1.6262,0.01549,0.79965,0.20235,0.0,0.11321,0.51826,0.0,0.0,0.0,0.24389,0.0,1.0,0.0,0.0
0.67313,0.01078,0.01128,0.83117,0.00019,2.14314,0.30927,8.62898,0.31152,1.53751,0.01992,0.54424,0.17807,0.0,0.05914,0.47726,0.0,0.0,0.0,0.3084,0.0,0.68223,0.0,0.0
0.67925,0.00728,0.01298,0.93073,0.00033,2.63566,0.66579,6.83017,0.51557,1.83397,0.01602,0.9,0.19298,0.0,0.10448,0.4699,0.0,0.0,0.0,0.30289,0.0,1.0,0.0,0.0
0.67506,0.00717,0.01273,0.91619,0.00039,3.10588,0.63176,7.06966,0.5746,1.83397,0.01536,0.79175,0.20214,0.0,0.12558,0.46296,0.0,0.0,0.0,0.28054,0.0,0.95452,0.0,0.0
0.67986,0.00958,0.01241,0.91382,0.00035,3.09678,0.66088,8.26892,0.61424,1.79548,0.01279,0.65131,0.20205,0.0,0.0939,0.53337,0.0,0.0,0.0,0.25745,0.0,0.86929,0.0,0.0
0.67697,0.00728,0.01427,0.91279,0.00039,3.05635,0.6598,6.46807,0.57149,1.57531,0.01457,0.89428,0.19626,0.0,0.13191,0.4699,0.0,0.0,0.0,0.30389,0.0,0.96192,0.0,0.0
0.68029,0.00489,0.01298,0.93907,0.0006,3.51222,0.75506,5.89293,0.57149,2.33066,0.02018,0.83355,0.19626,0.0,0.1187,0.5315,0.0,0.0,0.0,0.2831,0.0,1.0,0.0,0.0
0.67704,0.00924,0.00872,0.83804,0.00029,3.36646,0.37456,8.20421,0.24545,2.17567,0.02042,0.68218,0.20522,0.0,0.06069,0.55223,0.0,0.0,0.0,0.22677,0.0,0.70859,0.0,0.0
0.68108,0.00688,0.01258,0.90628,0.0004,3.10588,0.64411,7.3233,0.57995,1.83397,0.01656,0.83689,0.19329,0.0,0.12005,0.44824,0.0,0.0,0.0,0.2831,0.0,1.0,0.0,0.0
0.6767,0.00552,0.01298,0.94774,0.00032,3.30039,0.64411,7.40909,0.55542,2.12796,0.01659,0.72827,0.2202,0.0,0.1206,0.50154,0.0,0.0,0.0,0.24124,0.0,0.9026,0.0,0.0
0.67598,0.00742,0.01342,0.88932,0.00041,3.16597,0.64411,7.0052,0.54625,1.83397,0.01434,0.84453,0.19799,0.0,0.11302,0.46344,0.0,0.0,0.0,0.25775,0.0,1.0,0.0,0.0
0.67613,0.00719,0.0128,0.87825,0.00038,3.10588,0.6185,7.24345,0.60387,1.623,0.01781,0.89455,0.20284,0.0,0.13383,0.44208,0.0,0.0,0.0,0.2831,0.0,0.97533,0.0,0.0
0.66199,0.00907,0.01603,0.97484,0.00038,3.10588,0.68388,5.43819,0.57149,2.13574,0.01525,0.9,0.19626,0.0,0.10478,0.44552,0.0,0.0,0.0,0.21211,0.0,1.0,0.0,0.0
0.67442,0.00668,0.01298,0.91243,0.00041,2.82262,0.69619,5.83951,0.53199,1.55938,0.01525,0.82581,0.19626,0.0,0.11245,0.48403,0.0,0.0,0.0,0.2831,0.0,0.87379,0.0,0.0
0.67397,0.00864,0.0142,0.95287,0.00038,2.93429,0.65603,6.16826,0.61138,1.83397,0.01525,0.7995,0.19779,0.0,0.1568,0.45261,0.0,0.0,0.0,0.26175,0.0,1.0,0.0,0.0
0.67958,0.00728,0.01072,0.90172,0.00041,3.48728,0.65715,6.1939,0.72115,1.9906,0.01626,0.9,0.18662,0.0,0.12683,0.3903,0.0,0.0,0.0,0.31208,0.0,0.99899,0.0,0.0
0.68266,0.00728,0.01415,0.91014,0.0004,3.40163,0.64411,7.32564,0.60624,1.78051,0.01457,0.82528,0.22141,0.0,0.12406,0.45527,0.0,0.0,0.0,0.27854,0.0,1.0,0.0,0.0
0.67295,0.00717,0.01043,0.91328,0.00041,3.60892,0.66336,6.24594,0.83312,2.04534,0.01664,0.9,0.19615,0.0,0.12406,0.38686,0.0,0.0,0.0,0.30479,0.0,0.93178,0.0,0.0
0.66711,0.00905,0.01114,0.94417,0.00042,3.21805,0.8604,6.63487,0.48733,1.72849,0.01525,0.9,0.22899,0.0,0.11555,0.5207,0.0,0.0,0.0,0.24721,0.0,1.0,0.0,0.0
0.67377,0.00698,0.01273,0.93393,0.00039,2.90847,0.64411,7.00101,0.60664,1.66547,0.01349,0.84766,0.18115,0.0,0.09818,0.46514,0.0,0.0,0.0,0.2839,0.0,1.0,0.0,0.0
0.67177,0.00875,0.01298,0.92475,0.00042,2.89648,0.74187,5.28147,0.57149,1.62308,0.01579,0.70397,0.17768,0.0,0.10104,0.4699,0.0,0.0,0.0,0.32145,0.0,1.0,0.0,0.0
0.67376,0.01073,0.01231,0.85004,0.00026,2.452,0.41073,7.66762,0.27411,2.51195,0.01888,0.73818,0.14937,0.0,0.06165,0.44873,0.0,0.0,0.0,0.30774,0.0,0.87396,0.0,0.0
0.68721,0.00671,0.00994,0.88168,0.00044,3.50907,0.64411,7.51722,0.63083,1.91115,0.01625,0.9,0.19292,0.0,0.14303,0.49557,0.0,0.0,0.0,0.30376,0.0,1.0,0.0,0.0
0.67616,0.00917,0.01044,0.91206,0.00047,3.3363,0.51282,7.77474,0.73021,2.65398,0.01565,0.9,0.25871,0.0,0.10094,0.42248,0.0,0.0,0.0,0.34069,0.0,1.0,0.0,0.0
0.67714,0.00811,0.01298,0.86394,0.00039,3.10588,0.82203,6.21152,0.57149,1.67655,0.01441,0.84648,0.19626,0.0,0.12406,0.53796,0.0,0.0,0.0,0.37319,0.0,0.80733,0.0,0.0
0.67791,0.00725,0.01224,0.89619,0.00037,3.10588,0.67915,7.66725,0.56066,1.87056,0.01584,0.84859,0.18588,0.0,0.13474,0.42219,0.0,0.0,0.0,0.29086,0.0,1.0,0.0,0.0
0.67646,0.00728,0.01309,0.9524,0.00041,2.53405,0.64411,6.93635,0.52849,1.80926,0.01481,0.9,0.19626,0.0,0.12382,0.44104,0.0,0.0,0.0,0.27708,0.0,0.97133,0.0,0.0
0.67894,0.00741,0.01324,0.879,0.00044,3.50907,0.63461,8.47301,0.62928,1.96183,0.01463,0.9,0.18293,0.0,0.10999,0.49557,0.0,0.0,0.0,0.24084,0.0,0.96651,0.0,0.0
0.68041,0.00712,0.01296,0.91422,0.00041,3.10588,0.60334,6.78534,0.57225,1.78163,0.0152,0.89602,0.19762,0.0,0.12406,0.47587,0.0,0.0,0.0,0.2929,0.0,1.0,0.0,0.0
0.67706,0.00741,0.01054,0.90094,0.00034,4.24201,0.84478,4.83732,0.82278,2.43086,0.01579,0.9,0.18991,0.0,0.11258,0.43407,0.0,0.0,0.0,0.30479,0.0,0.91776,0.0,0.0
0.66903,0.00749,0.01514,0.98,0.00035,3.10588,0.43471,8.99301,0.42432,1.49637,0.01525,0.62397,0.19619,0.0,0.11643,0.42618,0.0,0.0,0.0,0.33402,0.0,1.0,0.0,0.0
0.67943,0.00789,0.01263,0.91422,0.00039,2.66363,0.59534,6.05282,0.4282,1.70728,0.01134,0.67491,0.19439,0.0,0.12406,0.43413,0.0,0.0,0.0,0.2707,0.0,1.0,0.0,0.0
0.6798,0.00728,0.01298,0.91422,0.00039,3.10588,0.63295,7.88612,0.7506,1.94659,0.01525,0.9,0.19626,0.0,0.127,0.49215,0.0,0.0,0.0,0.3566,0.0,1.0,0.0,0.0
0.6765,0.00671,0.00994,0.95638,0.00034,3.50907,0.64411,7.43229,0.63083,1.75995,0.01694,0.9,0.20482,0.0,0.13936,0.5803,0.0,0.0,0.0,0.2178,0.0,0.81493,0.0,0.0
0.67973,0.00649,0.01138,0.91358,0.00053,3.48538,0.74031,7.80343,0.71502,1.91115,0.01512,0.73445,0.20806,0.0,0.0865,0.45061,0.0,0.0,0.0,0.29226,0.0,1.0,0.0,0.0
0.67815,0.00734,0.00909,0.89516,0.00049,3.50907,0.70012,6.91925,0.60207,1.65069,0.01254,0.9,0.19393,0.0,0.13786,0.55538,0.0,0.0,0.0,0.22206,0.0,1.0,0.0,0.0
0.68236,0.00716,0.00975,0.87091,0.00044,3.47167,0.6923,7.71894,0.64272,1.82983,0.01574,0.9,0.18746,0.0,0.14735,0.52126,0.0,0.0,0.0,0.32107,0.0,1.0,0.0,0.0
0.67649,0.00817,0.01127,0.87683,0.00044,3.4019,0.63868,7.95309,0.55527,1.97902,0.01699,0.9,0.2111,0.0,0.16934,0.42104,0.0,0.0,0.0,0.33554,0.0,0.88213,0.0,0.0
0.67867,0.00705,0.01099,0.92048,0.00042,3.50907,0.67713,8.12609,0.69172,2.2493,0.01459,0.8747,0.18416,0.0,0.14303,0.49557,0.0,0.0,0.0,0.30919,0.0,1.0,0.0,0.0
0.67585,0.00695,0.01008,0.87647,0.00045,3.49092,0.64411,7.36578,0.62236,1.85247,0.0176,0.9,0.19421,0.0,0.14356,0.49557,0.0,0.0,0.0,0.30376,0.0,1.0,0.0,0.0
0.68079,0.00631,0.00994,0.92084,0.00044,3.50907,0.67808,7.42335,0.72158,1.73682,0.01711,0.88583,0.22397,0.0,0.10532,0.5403,0.0,0.0,0.0,0.26553,0.0,1.0,0.0,0.0
0.67377,0.00769,0.01085,0.92628,0.00037,3.12885,0.59981,5.61644,0.79999,2.04534,0.01825,0.88538,0.18217,0.0,0.12406,0.41434,0.0,0.0,0.0,0.30764,0.0,1.0,0.0,0.0
0.68305,0.00685,0.00994,0.89141,0.00044,3.45799,0.63428,7.71235,0.63083,1.91115,0.0164,0.86601,0.1902,0.0,0.14303,0.48987,0.0,0.0,0.0,0.2907,0.0,0.97305,0.0,0.0
0.67376,0.0074,0.01148,0.85537,0.00041,3.19147,0.69195,7.9672,0.48123,1.58561,0.01384,0.73792,0.19626,0.0,0.1371,0.4699,0.0,0.0,0.0,0.26678,0.0,1.0,0.0,0.0
0.68159,0.0066,0.00897,0.86256,0.00048,3.50907,0.55839,6.92057,0.58539,2.26492,0.02104,0.77074,0.24553,0.0,0.1207,0.56124,0.0,0.0,0.0,0.25264,0.0,1.0,0.0,0.0
0.67992,0.00671,0.00988,0.86431,0.00043,3.44715,0.64907,7.51722,0.60916,1.91115,0.01641,0.9,0.19292,0.0,0.14303,0.49557,0.0,0.0,0.0,0.28886,0.0,1.0,0.0,0.0
0.67767,0.00656,0.00994,0.88544,0.00041,3.50907,0.6468,7.99446,0.65152,1.82131,0.01579,0.9,0.1742,0.0,0.14303,0.50367,0.0,0.0,0.0,0.30252,0.0,0.92318,0.0,0.0
0.67475,0.00699,0.00957,0.88168,0.00044,3.35185,0.68514,9.59433,0.67902,1.60458,0.01048,0.9,0.20055,0.0,0.14751,0.54688,0.0,0.0,0.0,0.28335,0.0,1.0,0.0,0.0
0.67669,0.00714,0.00932,0.86634,0.00041,3.32418,0.55399,6.58648,0.49864,2.01975,0.01577,0.9,0.19218,0.0,0.1619,0.51167,0.0,0.0,0.0,0.31816,0.0,1.0,0.0,0.0
0.68524,0.00671,0.01324,0.85903,0.00046,3.31166,0.64411,7.52099,0.63083,2.04366,0.01741,0.72574,0.16068,0.0,0.13743,0.47651,0.0,0.0,0.0,0.30376,0.0,0.8584,0.0,0.0
0.67075,0.00723,0.01324,0.83223,0.00052,3.31166,0.64411,7.23083,0.74657,2.07445,0.01941,0.6978,0.17082,0.0,0.15933,0.53029,0.0,0.0,0.0,0.32501,0.0,0.6591,0.0,0.0
0.68361,0.00671,0.00994,0.86075,0.00044,3.37348,0.60636,6.954,0.66059,1.86033,0.01507,0.9,0.189,0.0,0.14218,0.49607,0.0,0.0,0.0,0.30376,0.0,1.0,0.0,0.0
0.67448,0.00822,0.014,0.90425,0.00037,2.53195,0.55482,9.00557,0.65317,1.57157,0.01391,0.80247,0.19626,0.0,0.12138,0.41765,0.0,0.0,0.0,0.27905,0.0,0.88559,0.0,0.0
0.68293,0.00681,0.01359,0.87041,0.00039,3.85919,0.69172,7.98031,0.50856,1.73085,0.0139,0.82202,0.25085,0.0,0.09453,0.45141,0.0,0.0,0.0,0.32732,0.0,0.9482,0.0,0.0
0.67579,0.00789,0.01029,0.95765,0.00044,5.0,0.64085,7.8083,0.63083,1.0743,0.01906,0.9,0.22879,0.0,0.16789,0.49557,0.0,0.0,0.0,0.32763,0.0,1.0,0.0,0.0
0.68212,0.00671,0.01395,0.88146,0.00046,3.31166,0.60253,7.75315,0.64715,2.04366,0.01927,0.75491,0.15453,0.0,0.15184,0.43979,0.0,0.0,0.0,0.30215,0.0,0.80988,0.0,0.0
0.67086,0.00858,0.01324,0.80564,0.00051,3.31166,0.81759,10.41213,0.45767,2.15848,0.01429,0.9,0.18943,0.0,0.12386,0.61974,0.0,0.0,0.0,0.2926,0.0,1.0,0.0,0.0
0.68363,0.00684,0.01298,0.93071,0.00043,3.04935,0.69292,6.93635,0.6747,1.87067,0.01471,0.9,0.21515,0.0,0.07597,0.42952,0.0,0.0,0.0,0.26243,0.0,1.0,0.0,0.0
0.67639,0.00671,0.00858,0.8908,0.00044,4.33559,0.59078,7.51959,0.50315,1.87816,0.01647,0.9,0.23326,0.0,0.1792,0.47663,0.0,0.0,0.0,0.22694,0.0,1.0,0.0,0.0
0.68432,0.00665,0.01074,0.86648,0.00044,3.27998,0.64411,7.12075,0.63083,2.30821,0.01783,0.9,0.17627,0.0,0.13248,0.53615,0.0,0.0,0.0,0.30376,0.0,1.0,0.0,0.0
0.67261,0.00728,0.01134,0.94597,0.00043,3.07507,0.65571,8.05717,0.57149,1.77604,0.01229,0.62129,0.1755,0.0,0.1243,0.55831,0.0,0.0,0.0,0.2831,0.0,1.0,0.0,0.0
0.68366,0.0083,0.01107,0.9229,0.0004,3.41349,0.49907,6.25766,0.57149,1.62096,0.01525,0.88274,0.21148,0.0,0.11914,0.41507,0.0,0.0,0.0,0.2831,0.0,0.91398,0.0,0.0
0.67626,0.00671,0.00835,0.79,0.00036,3.87073,0.64411,7.51722,0.61885,1.49412,0.01625,0.83345,0.14309,0.0,0.14303,0.45809,0.0,0.0,0.0,0.36971,0.0,1.0,0.0,0.0
0.68277,0.00622,0.01456,0.85903,0.00053,3.3546,0.65934,7.38017,0.58984,1.92996,0.01698,0.69155,0.17313,0.0,0.13645,0.53916,0.0,0.0,0.0,0.30442,0.0,0.90036,0.0,0.0
0.68197,0.00717,0.01236,0.92871,0.00042,3.71605,0.50844,7.98057,0.60896,1.73721,0.01908,0.73854,0.17919,0.0,0.14303,0.51883,0.0,0.0,0.0,0.3435,0.0,1.0,0.0,0.0
0.68011,0.00705,0.00994,0.81667,0.00045,3.23355,0.62082,7.51722,0.71809,1.58108,0.0128,0.9,0.19616,0.0,0.14303,0.46233,0.0,0.0,0.0,0.21987,0.0,1.0,0.0,0.0
0.68409,0.00787,0.00994,0.87218,0.00041,3.50907,0.67932,7.29981,0.61668,1.82237,0.01625,0.9,0.19292,0.0,0.15581,0.48019,0.0,0.0,0.0,0.31149,0.0,1.0,0.0,0.0
0.67903,0.00713,0.01284,0.93078,0.00039,3.12925,0.54706,7.33197,0.57282,2.15211,0.01676,0.82202,0.17708,0.0,0.1217,0.3697,0.0,0.0,0.0,0.24769,0.0,1.0,0.0,0.0
0.67746,0.00611,0.01012,0.88168,0.00045,3.1753,0.64411,7.51722,0.60972,1.9883,0.01625,0.9,0.20329,0.0,0.14303,0.5009,0.0,0.0,0.0,0.30862,0.0,1.0,0.0,0.0
0.67991,0.00822,0.01248,0.91615,0.00033,2.87098,0.64411,6.55773,0.66499,1.99333,0.01584,0.82467,0.20209,0.0,0.1181,0.47761,0.0,0.0,0.0,0.28155,0.0,1.0,0.0,0.0
0.6834,0.00584,0.00957,0.80273,0.00042,4.24422,0.62233,7.23092,0.72254,2.41287,0.01741,0.73169,0.16447,0.0,0.04744,0.59336,0.0,0.0,0.0,0.33328,0.0,0.84153,0.0,0.0
0.67751,0.0065,0.01228,0.89428,0.00029,2.8412,0.64411,7.95835,0.72459,1.83397,0.01525,0.89365,0.2039,0.0,0.12278,0.48613,0.0,0.0,0.0,0.3254,0.0,0.71277,0.0,0.0
0.67974,0.00606,0.01333,0.83434,0.00044,3.31166,0.64411,8.0881,0.61214,2.05568,0.017,0.69401,0.16793,0.0,0.13874,0.46376,0.0,0.0,0.0,0.30376,0.0,0.86132,0.0,0.0
0.6779,0.00781,0.01407,0.91802,0.00041,2.93067,0.64411,5.92688,0.63551,1.74304,0.01556,0.85409,0.18904,0.0,0.12291,0.4699,0.0,0.0,0.0,0.26989,0.0,1.0,0.0,0.0
0.6822,0.0059,0.00953,0.8548,0.00044,3.71831,0.65886,5.81581,0.70324,1.91115,0.01619,0.9,0.22344,0.0,0.16402,0.54792,0.0,0.0,0.0,0.26385,0.0,0.89823,0.0,0.0
0.67979,0.00728,0.01261,0.84906,0.00039,3.27098,0.61812,7.33783,0.58718,1.64511,0.01858,0.65932,0.25133,0.0,0.13573,0.52016,0.0,0.0,0.0,0.2509,0.0,1.0,0.0,0.0
0.68563,0.00584,0.00994,0.88453,0.00048,3.44967,0.72459,6.49193,0.64718,1.70981,0.02001,0.85557,0.25074,0.0,0.18695,0.4547,0.0,0.0,0.0,0.3836,0.0,1.0,0.0,0.0
0.68516,0.00671,0.00934,0.88168,0.00052,3.92976,0.56491,7.87571,0.6292,1.85615,0.01625,0.9,0.18433,0.0,0.16421,0.49557,0.0,0.0,0.0,0.383,0.0,0.94317,0.0,0.0
0.68491,0.00543,0.01189,0.81827,0.00045,3.37173,0.63852,7.59348,0.63083,1.91115,0.01569,0.9,0.16379,0.0,0.14303,0.42134,0.0,0.0,0.0,0.39166,0.0,0.88509,0.0,0.0
0.67633,0.00519,0.01104,0.91413,0.00036,2.45602,0.72179,8.97617,0.63083,2.46134,0.01721,0.9,0.22475,0.0,0.16667,0.55658,0.0,0.0,0.0,0.30376,0.0,0.83317,0.0,0.0
0.68304,0.00556,0.01053,0.88088,0.00052,3.65107,0.75127,6.35305,0.64718,1.71317,0.01885,0.8841,0.25074,0.0,0.1861,0.46775,0.0,0.0,0.0,0.37258,0.0,1.0,0.0,0.0
0.68387,0.00643,0.00988,0.88915,0.00043,3.52882,0.7157,6.40117,0.70274,1.80139,0.02267,0.85557,0.25074,0.0,0.15379,0.3415,0.0,0.0,0.0,0.4399,0.0,1.0,0.0,0.0
